time_sec,bins_used,optimal_bins,extra_bins,overall_ratio,num_instances,optimal_hits,avg_ratio,time_per_item,algorithm
38.10708394793619,9914,9616,298,1.0309900166389352,20,0,1.026734358360031,0.0016666666666666668,fitness_dependent_optimiser_0_initial
39.300953413971,9845,9616,229,1.0238144758735441,20,0,1.020349657343539,0.0016666666666666668,fitness_dependent_optimiser_0_performance_3
40.11823076098517,9860,9616,244,1.0253743760399334,20,0,1.0222015492610046,0.0016666666666666668,fitness_dependent_optimiser_0_performance_4
38.12982879098854,9906,9616,290,1.0301580698835275,20,0,1.0259336414838593,0.0016666666666666668,fitness_dependent_optimiser_1_initial
38.12035287702747,9901,9616,285,1.0296381031613977,20,0,1.0256977747107343,0.0016666666666666668,fitness_dependent_optimiser_1_post_plan
38.11657154497516,9904,9616,288,1.0299500831946755,20,0,1.025855994024926,0.0016666666666666668,fitness_dependent_optimiser_1_performance_3
38.06179203397187,9924,9616,308,1.0320299500831946,20,0,1.027725912171304,0.0016666666666666668,fitness_dependent_optimiser_2_initial
38.048666754039004,9884,9616,268,1.0278702163061564,20,0,1.0241339329700503,0.0016666666666666668,fitness_dependent_optimiser_2_post_plan
38.090184980028425,9894,9616,278,1.028910149750416,20,0,1.0246794286159353,0.0016666666666666668,fitness_dependent_optimiser_2_performance_3
39.226148159985314,9833,9616,217,1.0225665557404326,20,0,1.019867638836102,0.0016666666666666668,fitness_dependent_optimiser_2_performance_4
