time_sec,bins_used,optimal_bins,extra_bins,overall_ratio,num_instances,optimal_hits,avg_ratio,time_per_item,algorithm
34.113048526005514,9918,9616,302,1.031405990016639,20,0,1.0270260808525316,0.0016666666666666668,genetic_algorithm_0_initial
38.94320372600487,9881,9616,265,1.0275582362728786,20,0,1.0239085115220152,0.0016666666666666668,genetic_algorithm_0_post_plan
38.648575813995194,9785,9616,169,1.0175748752079867,20,1,1.0152081923265586,0.0016666666666666668,genetic_algorithm_0_performance_3
38.16622768800153,9772,9616,156,1.0162229617304492,20,3,1.0140159496977397,0.0016666666666666668,genetic_algorithm_0_performance_4
39.17367288199421,9889,9616,273,1.0283901830282862,20,0,1.024658302068061,0.0016666666666666668,genetic_algorithm_1_initial
38.8103286500027,9932,9616,316,1.0328618968386023,20,0,1.0285842322291336,0.0016666666666666668,genetic_algorithm_1_post_plan
38.660134196999934,9921,9616,305,1.0317179700499168,20,0,1.027136985948184,0.0016666666666666668,genetic_algorithm_1_performance_3
39.134385936005856,9890,9616,274,1.0284941763727122,20,0,1.024381053997654,0.0016666666666666668,genetic_algorithm_1_performance_4
38.23368337499414,9895,9616,279,1.0290141430948418,20,0,1.025042944597793,0.0016666666666666668,genetic_algorithm_2_initial
38.608678579996194,9815,9616,199,1.0206946755407653,20,1,1.0179417587409445,0.0016666666666666668,genetic_algorithm_2_post_plan
39.0409805959971,9803,9616,187,1.0194467554076538,20,2,1.0168017643643288,0.0016666666666666668,genetic_algorithm_2_performance_3
35.66520660900096,9752,9616,136,1.01414309484193,20,6,1.0119044759140396,0.0016666666666666668,genetic_algorithm_2_performance_4
