time_sec,bins_used,optimal_bins,extra_bins,overall_ratio,num_instances,optimal_hits,avg_ratio,time_per_item,algorithm
38.05047801101318,9932,9616,316,1.0328618968386023,20,0,1.0285842322291336,0.0016666666666666668,simulated_annealing_0_correctness_1
38.14441763302602,9881,9616,265,1.0275582362728786,20,0,1.0243220397237578,0.0016666666666666668,simulated_annealing_0_post_plan
38.37683620896132,9899,9616,283,1.0294301164725457,20,0,1.0259088297469663,0.0016666666666666668,simulated_annealing_0_performance_4
39.20879980803875,9803,9616,187,1.0194467554076538,20,0,1.0171042982848666,0.0016666666666666668,simulated_annealing_1_correctness_1
39.242421722985455,9857,9616,241,1.0250623960066556,20,0,1.0224350882151763,0.0016666666666666668,simulated_annealing_1_post_plan
39.442205111001385,9887,9616,271,1.0281821963394342,20,0,1.0251268935459277,0.0016666666666666668,simulated_annealing_1_performance_4
39.225125405049766,9763,9616,147,1.0152870216306156,20,2,1.0129858711425064,0.0016666666666666668,simulated_annealing_2_initial
39.2436187260173,9798,9616,182,1.0189267886855242,20,0,1.016833608865367,0.0016666666666666668,simulated_annealing_2_post_plan
39.280280626015156,9786,9616,170,1.0176788685524127,20,1,1.0156111393653178,0.0016666666666666668,simulated_annealing_2_performance_3
39.12388881605875,9797,9616,181,1.0188227953410982,20,2,1.016632146155969,0.0016666666666666668,simulated_annealing_2_performance_4
