dataset,algo,runs,time_sec,bins_used,optimal_bins,extra_bins,overall_ratio,num_instances,optimal_hits,avg_ratio,time_per_item
scholl-10,fdo,5,16.39244446196244,2997,2810,187,1.0665480427046263,10,0,1.0666386420596954,0.0016666666666666668
scholl-480,rbf,5,1.4406944797956385,105344,101230,4114,1.0406401264447298,480,189,1.0355540815109228,0.0016666666666666668
scholl-480,sa,5,304.35263957080315,101623,101230,393,1.0038822483453522,480,414,1.0052161303338276,0.0016666666666666668
scholl-480,gga,5,373.7777323241462,101699,101230,469,1.0046330139286772,480,433,1.0023396082469915,0.0016666666666666668
scholl-480,aco,5,580.5404219666962,104290,101230,3060,1.0302281932233528,480,267,1.0218575662318126,0.0016666666666666668
scholl-480,fdo,5,614.9829235830402,104241,101230,3011,1.0297441469919983,480,252,1.022594250360699,0.0016666666666666668
scholl-720,rbf,5,4.508517332142219,406713,391890,14823,1.0378243894970527,720,97,1.0452093877558877,0.0016666666666666668
scholl-720,sa,5,1020.1599830411724,393054,391890,1164,1.0029702212355507,720,548,1.004369928569587,0.0016666666666666668
scholl-720,gga,5,951.4743823962053,392245,391890,355,1.0009058664421138,720,674,1.0008073500956443,0.0016666666666666668
scholl-720,aco,5,1160.1889624122414,393693,391890,1803,1.0046007808313557,720,531,1.006252928671764,0.0016666666666666668
scholl-720,fdo,5,1224.4965226065542,400530,391890,8640,1.0220470029855317,720,335,1.0183555422074488,0.0016666666666666668
scholl-10,ts,5,16.303176303044893,2841,2810,31,1.011032028469751,10,7,1.0110860104807473,0.0016666666666666668
scholl-10,grasp,5,16.34100341197336,2867,2810,57,1.0202846975088968,10,2,1.0203290043290045,0.0016666666666666668
scholl-480,ts,5,382.9235420591722,102380,101230,1150,1.011360268695051,480,364,1.0088234541172463,0.0016666666666666668
scholl-480,grasp,5,477.70485948977876,103340,101230,2110,1.020843623431789,480,323,1.0128897795372993,0.0016666666666666668
scholl-720,ts,5,1018.1326661775238,393122,391890,1232,1.0031437393146037,720,582,1.003738738987493,0.0016666666666666668
scholl-720,grasp,5,1136.259318702243,393387,391890,1497,1.0038199494756181,720,556,1.004683305611188,0.0016666666666666668
scholl-10,vns,5,16.480186549888458,2826,2810,16,1.0056939501779358,10,8,1.0057664616085669,0.0016666666666666668
scholl-480,vns,5,372.21120727981906,102824,101230,1594,1.0157463202607921,480,407,1.0063125250584821,0.0016666666666666668
scholl-720,vns,5,882.0502760103846,392061,391890,171,1.0004363469340887,720,700,1.0004348653810204,0.0016666666666666668
