dataset,algo,runs,time_sec,bins_used,optimal_bins,extra_bins,overall_ratio,num_instances,optimal_hits,avg_ratio,time_per_item
hard,anthropic-aco,5,39.69541209908493,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,anthropic-fdo,5,41.515302989122574,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,anthropic-ga,5,40.88842323192512,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,anthropic-grasp,5,36.200212070922134,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,anthropic-sa,5,41.52611626200087,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,anthropic-tabu,5,40.29462189906917,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,anthropic-vns,5,41.488228075919324,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,openai-aco,5,42.65896101819817,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,openai-fdo,5,42.37866645603208,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,openai-ga,5,42.165375234078965,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,openai-grasp,5,43.506323736015474,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,openai-sa,5,42.512163337974926,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,openai-tabu,5,45.97768841801735,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,openai-vns,5,42.338759216989274,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,rbf,5,0.10182164894649759,10394,9860,534,1.054158215010142,28,0,1.0542539431824465,0.0016666666666666668
hard,sa,5,41.48739401891362,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,ts,5,41.52379098627716,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,gga,5,40.25772289157612,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,aco,5,41.582557908666786,10018,9860,158,1.0160243407707912,28,4,1.0161748288296577,0.0016666666666666668
hard,grasp,5,41.49956869910238,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,vns,5,41.601157459197566,9975,9860,115,1.0116632860040569,28,5,1.0119559126857822,0.0016666666666666668
hard,fdo,5,41.62676719413139,10149,9860,289,1.0293103448275862,28,0,1.0293168095833636,0.0016666666666666668
