dataset,algo,runs,time_sec,bins_used,optimal_bins,extra_bins,overall_ratio,num_instances,optimal_hits,avg_ratio,time_per_item
falkenauer-500,openai-ga,5,84.20499123100035,20349,20120,229,1.0113817097415507,20,0,1.0113959710471854,0.0016666666666666668
falkenauer-500,openai-sa,5,83.63070131799759,20385,20120,265,1.0131709741550696,20,0,1.013183571012095,0.0016666666666666668
falkenauer-500,openai-tabu,5,86.68080644899783,20390,20120,270,1.0134194831013916,20,0,1.0134313420578562,0.0016666666666666668
falkenauer-500,openai-vns,5,83.34333495999681,20271,20120,151,1.0075049701789265,20,0,1.00750716560467,0.0016666666666666668
falkenauer-1000,rbf,5,1.3508909150009458,41967,40055,1912,1.0477343652477844,20,0,1.047727472271151,0.0016666666666666668
falkenauer-1000,tabu,5,109.04080693999913,40525,40055,470,1.0117338659343402,20,0,1.0117375258278225,0.0016666666666666668
falkenauer-1000,aco,5,158.35848400699524,40711,40055,656,1.016377480963675,20,0,1.016388295507711,0.0016666666666666668
falkenauer-1000,grasp,5,114.79041773000336,40587,40055,532,1.0132817376107852,20,0,1.013287290498181,0.0016666666666666668
falkenauer-1000,vns,5,142.34538640100254,40367,40055,312,1.0077892897266258,20,0,1.007789212989275,0.0016666666666666668
falkenauer-1000,fdo,5,159.09445329199934,41893,40055,1838,1.0458869055049307,20,0,1.0458821562001677,0.0016666666666666668
falkenauer-1000,anthropic-aco,5,160.6812443480003,40483,40055,428,1.0106853077019098,20,0,1.0106887269353888,0.0016666666666666668
falkenauer-1000,anthropic-fdo,5,163.39293787799488,40312,40055,257,1.006416177755586,20,0,1.0064176608423518,0.0016666666666666668
falkenauer-1000,anthropic-ga,5,157.85713128199313,40159,40055,104,1.0025964299088752,20,7,1.0025979489948673,0.0016666666666666668
falkenauer-1000,anthropic-grasp,5,162.98053165999772,40490,40055,435,1.010860067407315,20,0,1.010862664071433,0.0016666666666666668
falkenauer-1000,anthropic-sa,5,163.41439883000567,40347,40055,292,1.0072899762826113,20,0,1.0072866626375678,0.0016666666666666668
